version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
2,2792,603900.455269194,111.4382149,1564.239121,4326.279479,0.203523,1,604140.3916,1564.239121
2,2794,617338.303380969,117.8292732,1491.464269,4346.881945,0.203523,1,617286.2097,1489.731835
2,2796,630922.296188921,124.1666657,1411.80019,3925.254493,0.203523,1,630860.5741,1411.80019
2,2798,644702.400719039,130.530053,1328.703823125,3682.098587,0.203523,1,644393.6369,1326.223372
2,2800,658582.857995671,136.5054976,1246.853441,2601.850187,0.203523,1,658628.3573,1246.853441
2,2802,672633.328416204,142.5162858,1170.66872875,2309.709351,0.203523,1,672388.2111,1167.698848
2,2804,686697.974761946,148.0368377,1092.457141,1659.332392,0.203523,1,686472.0752,1092.457141
2,2806,700652.282743311,153.5731773,1000.554037,243.553241,0.203523,1,701147.2181,1001.066822
2,2808,714538.182940009,159.6193387,901.838777,238.940915,0.203523,1,714856.4567,901.838777
2,2810,728161.111373328,165.3135104,809.3184165,430.572495,0.203523,1,728466.9607,807.186172
2,2812,741694.738403997,171.2725061,719.543199,960.939965,0.203523,1,741860.9157,719.543199
2,2814,755227.271398069,177.1903813,624.864448875,2049.051904,0.203523,1,754851.3985,624.286094
2,2816,768694.340782905,182.0090276,532.344588,2852.042356,0.203523,1,768059.1985,532.344588
2,2818,782012.972967307,187.21257,450.021573,3264.588876,0.203523,1,781572.1629,450.021573
2,2820,795411.464257194,192.0615247,349.621087375,3657.808569,0.203523,1,795116.4612,352.435809
2,2822,808598.078709612,196.8060148,241.987157,3904.706711,0.203523,1,808706.0446,241.987157
2,2824,821359.173975547,201.925771,141.315666625,4035.026688,0.203523,1,822304.4447,143.593251
2,2826,833826.248506271,207.3245221,41.947466,5927.723284,0.203523,1,834565.2833,41.947466
2,2828,845705.637942189,213.7018809,-60.5079023750001,9133.983506,0.203523,1,845798.7017,-60.036148
2,2830,857159.122919907,217.7825852,-162.950534,11875.3286,0.203523,1,857253.3754,-162.950534
2,2832,868524.560169647,222.9671281,-263.6146,15361.12513,0.203523,1,868103.2057,-263.6146
2,2834,879708.058555574,228.4430663,-371.05005475,18408.19871,0.203523,1,879182.8121,-375.119673
2,2836,890770.047571922,233.0994949,-481.179044,20840.93795,0.203523,1,890644.2686,-481.179044
2,2838,901895.447340233,237.4006944,-590.23603775,23156.48661,0.203523,1,902122.8587,-598.06295
2,2840,912983.913088589,242.2832537,-692.650184,26306.53069,0.203523,1,912850.2762,-692.650184
2,2842,924060.323888409,246.8504128,-795.711556125,27750.24166,0.203523,1,924622.3841,-794.434837
2,2844,935092.054477195,252.6723158,-897.288811,30431.18621,0.203523,1,935314.3481,-897.288811
